"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: distribution","Param: keyRange","Param: mapType","Param: readRatio"
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,14429506.239993,785751.287411,"ops/s",uniform,1000,SynchronizedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,12639160.896271,1032156.099104,"ops/s",uniform,1000,SynchronizedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,11539760.782006,575127.745527,"ops/s",uniform,1000,SynchronizedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,46123480.439107,7309280.610293,"ops/s",uniform,1000,StripedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,38870263.318209,1208957.627893,"ops/s",uniform,1000,StripedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,27649373.956870,1640575.183316,"ops/s",uniform,1000,StripedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,45833342.387173,9219823.698499,"ops/s",uniform,1000,StripedMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,39964382.017838,4464120.034381,"ops/s",uniform,1000,StripedMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,35688462.458470,1699193.611937,"ops/s",uniform,1000,StripedMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,48315987.491598,6781369.896449,"ops/s",uniform,1000,StripedWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,33295153.459878,1387578.785029,"ops/s",uniform,1000,StripedWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,25592505.057702,565514.471927,"ops/s",uniform,1000,StripedWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,61374381.517150,9961489.072794,"ops/s",uniform,1000,StripedWriteMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,45330127.141401,669953.642880,"ops/s",uniform,1000,StripedWriteMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,32121696.636225,1075959.594633,"ops/s",uniform,1000,StripedWriteMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,70769557.925882,12777683.404375,"ops/s",uniform,1000,StripedLevelWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,39771026.150124,3085238.390891,"ops/s",uniform,1000,StripedLevelWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,30157696.870208,108313.816268,"ops/s",uniform,1000,StripedLevelWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,86290222.593491,2461696.852305,"ops/s",uniform,1000,HashTrieMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,44473006.314845,3658245.640267,"ops/s",uniform,1000,HashTrieMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,36176324.822736,2216806.993043,"ops/s",uniform,1000,HashTrieMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,104810958.131317,32962099.109176,"ops/s",uniform,1000,WrapConcurrentHashMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,72858414.664291,3282232.558910,"ops/s",uniform,1000,WrapConcurrentHashMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,42316103.294609,6566805.826269,"ops/s",uniform,1000,WrapConcurrentHashMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,4329423.481762,214491.973364,"ops/s",uniform,1000000,SynchronizedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,4016813.102284,255205.539763,"ops/s",uniform,1000000,SynchronizedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,3860171.963556,187563.689832,"ops/s",uniform,1000000,SynchronizedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,43148771.186150,279657.944662,"ops/s",uniform,1000000,StripedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,34062403.024167,1086336.307637,"ops/s",uniform,1000000,StripedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,27550642.426242,442477.587764,"ops/s",uniform,1000000,StripedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,43181550.729959,795420.612278,"ops/s",uniform,1000000,StripedMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,37465716.540441,805553.027705,"ops/s",uniform,1000000,StripedMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,31139751.066926,672237.885118,"ops/s",uniform,1000000,StripedMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,53007349.740494,1189717.849776,"ops/s",uniform,1000000,StripedWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,28463421.136253,570062.233997,"ops/s",uniform,1000000,StripedWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,21657256.626712,762313.549191,"ops/s",uniform,1000000,StripedWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,66533807.702629,390684.964565,"ops/s",uniform,1000000,StripedWriteMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,36284727.677150,144858.193779,"ops/s",uniform,1000000,StripedWriteMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",8,20,25541592.237664,67613.242629,"ops/s",uniform,1000000,StripedWriteMapPadded,0.2
